mode,cyc,Q,xnor_Y,xnor_B,and4_4D,inv10_A,and4_A,and4_B,or3_A,or3_B,o21a,a21o,and3_11,nor2_Y,and4_X
all0,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,59,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,61,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,63,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,64,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,65,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,66,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,67,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,68,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,69,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,72,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,73,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,74,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,76,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,77,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,79,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,81,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,82,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,83,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,84,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,85,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,86,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,87,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,88,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,89,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,91,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,93,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,94,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,95,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,96,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,97,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,98,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,101,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,102,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,103,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,104,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,105,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,106,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,107,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,108,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,109,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,110,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,111,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,112,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,113,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,114,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,115,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,116,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,117,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,118,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,119,0,0,1,0,0,0,0,0,0,0,0,0,0,0
all0,120,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik01_n1_g—,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik01_n1_g—,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik01_n1_g—,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik01_n1_g—,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik01_n1_g—,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik01_n1_g—,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik01_n1_g—,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik01_n1_g—,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik01_n1_g—,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik01_n1_g—,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik01_n1_g—,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik01_n1_g—,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik01_n1_g—,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik01_n1_g—,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik01_n1_g—,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik01_n1_g—,15,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Ik01_n1_g—,16,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,17,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,18,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,19,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,20,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,21,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,22,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,23,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,24,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,25,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,26,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,27,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,28,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,29,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,30,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,31,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,32,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,33,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,34,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,35,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,36,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,37,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,38,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,39,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,40,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,41,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,42,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,43,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,44,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,45,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,46,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,47,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,48,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,49,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,50,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,51,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,52,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,53,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,54,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,55,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,56,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,57,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,58,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,59,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,60,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,61,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,62,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,63,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,64,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,65,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,66,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,67,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,68,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,69,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,70,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,71,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,72,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,73,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,74,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,75,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,76,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,77,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,78,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,79,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,80,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,81,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,82,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,83,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,84,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,85,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,86,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,87,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,88,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,89,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,90,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,91,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,92,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,93,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,94,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,95,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,96,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,97,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,98,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,99,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,100,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,101,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,102,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,103,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,104,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,105,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,106,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,107,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,108,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,109,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,110,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,111,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,112,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,113,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,114,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,115,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,116,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,117,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,118,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,119,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik01_n1_g—,120,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik02_n2_g7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik02_n2_g7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik02_n2_g7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik02_n2_g7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik02_n2_g7,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik02_n2_g7,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik02_n2_g7,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik02_n2_g7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik02_n2_g7,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik02_n2_g7,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik02_n2_g7,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik02_n2_g7,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik02_n2_g7,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik02_n2_g7,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik02_n2_g7,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik02_n2_g7,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik02_n2_g7,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik02_n2_g7,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik02_n2_g7,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik02_n2_g7,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik02_n2_g7,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik02_n2_g7,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik02_n2_g7,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik02_n2_g7,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik02_n2_g7,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ik02_n2_g7,25,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Ik02_n2_g7,26,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik02_n2_g7,27,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik02_n2_g7,28,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik02_n2_g7,29,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik02_n2_g7,30,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik02_n2_g7,31,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Ik02_n2_g7,32,0,0,1,0,1,0,0,1,0,0,0,0,0,0
Ik02_n2_g7,33,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,34,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,35,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,36,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,37,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,38,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,39,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,40,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,41,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,42,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,43,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,44,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,45,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,46,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,47,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,48,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,49,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,50,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,51,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,52,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,53,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,54,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,55,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,56,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,57,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,58,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,59,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,60,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,61,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,62,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,63,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,64,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,65,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,66,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,67,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,68,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,69,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,70,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,71,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,72,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,73,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,74,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,75,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,76,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,77,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,78,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,79,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,80,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,81,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,82,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,83,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,84,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,85,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,86,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,87,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,88,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,89,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,90,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,91,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,92,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,93,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,94,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,95,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,96,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,97,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,98,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,99,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,100,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,101,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,102,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,103,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,104,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,105,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,106,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,107,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,108,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,109,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,110,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,111,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,112,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,113,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,114,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,115,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,116,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,117,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Ik02_n2_g7,118,0,0,1,0,0,1,0,0,0,0,0,0,0,0
